instrument_id,symbol,market,asset_class,source,added_on,active,price_eligible,price_source,inactive_on
3HHd_EQ,3HHd,,EQ,trading212,2025-12-26,True,False,none,
3INDd_EQ,3INDd,,EQ,trading212,2025-12-26,True,False,none,
3ITLm_EQ,3ITLm,,EQ,trading212,2025-12-26,True,False,none,
3ITSm_EQ,3ITSm,,EQ,trading212,2025-12-26,True,False,none,
3JDEl_EQ,3JDEl,,EQ,trading212,2025-12-26,True,False,none,
3JPEl_EQ,3JPEl,,EQ,trading212,2025-12-26,True,False,none,
3KWBl_EQ,3KWBl,,EQ,trading212,2025-12-26,True,False,none,
3LAAl_EQ,3LAAl,,EQ,trading212,2025-12-26,True,False,none,
3LAAm_EQ,3LAAm,,EQ,trading212,2025-12-26,True,False,none,
3LAEl_EQ,3LAEl,,EQ,trading212,2025-12-26,True,False,none,
3LALl_EQ,3LALl,,EQ,trading212,2025-12-26,True,False,none,
3LAMl_EQ,3LAMl,,EQ,trading212,2025-12-26,True,False,none,
3LAMp_EQ,3LAMp,,EQ,trading212,2025-12-26,True,False,none,
3LAPl_EQ,3LAPl,,EQ,trading212,2025-12-26,True,False,none,
3LCOOl_EQ,3LCOOl,,EQ,trading212,2025-12-26,True,False,none,
3LCOm_EQ,3LCOm,,EQ,trading212,2025-12-26,True,False,none,
3LFBl_EQ,3LFBl,,EQ,trading212,2025-12-26,True,False,none,
3LFEl_EQ,3LFEl,,EQ,trading212,2025-12-26,True,False,none,
3LGEl_EQ,3LGEl,,EQ,trading212,2025-12-26,True,False,none,
3LIEl_EQ,3LIEl,,EQ,trading212,2025-12-26,True,False,none,
3LMEl_EQ,3LMEl,,EQ,trading212,2025-12-26,True,False,none,
3LMIl_EQ,3LMIl,,EQ,trading212,2025-12-26,True,False,none,
3LMIm_EQ,3LMIm,,EQ,trading212,2025-12-26,True,False,none,
3LMOl_EQ,3LMOl,,EQ,trading212,2025-12-26,True,False,none,
3LMOp_EQ,3LMOp,,EQ,trading212,2025-12-26,True,False,none,
3LMSl_EQ,3LMSl,,EQ,trading212,2025-12-26,True,False,none,
3LNEl_EQ,3LNEl,,EQ,trading212,2025-12-26,True,False,none,
3LNFl_EQ,3LNFl,,EQ,trading212,2025-12-26,True,False,none,
3LNIl_EQ,3LNIl,,EQ,trading212,2025-12-26,True,False,none,
3LNVl_EQ,3LNVl,,EQ,trading212,2025-12-26,True,False,none,
3LNd_EQ,3LNd,,EQ,trading212,2025-12-26,True,False,none,
3LPAl_EQ,3LPAl,,EQ,trading212,2025-12-26,True,False,none,
3LPAp_EQ,3LPAp,,EQ,trading212,2025-12-26,True,False,none,
3LPEl_EQ,3LPEl,,EQ,trading212,2025-12-26,True,False,none,
3LPOl_EQ,3LPOl,,EQ,trading212,2025-12-26,True,False,none,
3LPOm_EQ,3LPOm,,EQ,trading212,2025-12-26,True,False,none,
3LPPl_EQ,3LPPl,,EQ,trading212,2025-12-26,True,False,none,
3LPPm_EQ,3LPPm,,EQ,trading212,2025-12-26,True,False,none,
3LSQl_EQ,3LSQl,,EQ,trading212,2025-12-26,True,False,none,
3LSQm_EQ,3LSQm,,EQ,trading212,2025-12-26,True,False,none,
3LTEl_EQ,3LTEl,,EQ,trading212,2025-12-26,True,False,none,
3LTSl_EQ,3LTSl,,EQ,trading212,2025-12-26,True,False,none,
3LUBl_EQ,3LUBl,,EQ,trading212,2025-12-26,True,False,none,
3LUEl_EQ,3LUEl,,EQ,trading212,2025-12-26,True,False,none,
3LVEl_EQ,3LVEl,,EQ,trading212,2025-12-26,True,False,none,
3LVd_EQ,3LVd,,EQ,trading212,2025-12-26,True,False,none,
3LZNl_EQ,3LZNl,,EQ,trading212,2025-12-26,True,False,none,
3M7Sl_EQ,3M7Sl,,EQ,trading212,2025-12-26,True,False,none,
3MBEl_EQ,3MBEl,,EQ,trading212,2025-12-26,True,False,none,
3MG7l_EQ,3MG7l,,EQ,trading212,2025-12-26,True,False,none,
3MREl_EQ,3MREl,,EQ,trading212,2025-12-26,True,False,none,
3MSEl_EQ,3MSEl,,EQ,trading212,2025-12-26,True,False,none,
3MSTm_EQ,3MSTm,,EQ,trading212,2025-12-26,True,False,none,
3NFEl_EQ,3NFEl,,EQ,trading212,2025-12-26,True,False,none,
3NGLl_EQ,3NGLl,,EQ,trading212,2025-12-26,True,False,none,
3NGLm_EQ,3NGLm,,EQ,trading212,2025-12-26,True,False,none,
3NGSl_EQ,3NGSl,,EQ,trading212,2025-12-26,True,False,none,
3NGSm_EQ,3NGSm,,EQ,trading212,2025-12-26,True,False,none,
3NIEl_EQ,3NIEl,,EQ,trading212,2025-12-26,True,False,none,
3NVEl_EQ,3NVEl,,EQ,trading212,2025-12-26,True,False,none,
3OILl_EQ,3OILl,,EQ,trading212,2025-12-26,True,False,none,
3OILm_EQ,3OILm,,EQ,trading212,2025-12-26,True,False,none,
3OISl_EQ,3OISl,,EQ,trading212,2025-12-26,True,False,none,
3OISm_EQ,3OISm,,EQ,trading212,2025-12-26,True,False,none,
3P7d_EQ,3P7d,,EQ,trading212,2025-12-26,True,False,none,
3PREl_EQ,3PREl,,EQ,trading212,2025-12-26,True,False,none,
3PYEl_EQ,3PYEl,,EQ,trading212,2025-12-26,True,False,none,
3QDd_EQ,3QDd,,EQ,trading212,2025-12-26,True,False,none,
3QQEl_EQ,3QQEl,,EQ,trading212,2025-12-26,True,False,none,
3RACd_EQ,3RACd,,EQ,trading212,2025-12-26,True,False,none,
3S9d_EQ,3S9d,,EQ,trading212,2025-12-26,True,False,none,
3SAAm_EQ,3SAAm,,EQ,trading212,2025-12-26,True,False,none,
3SAEl_EQ,3SAEl,,EQ,trading212,2025-12-26,True,False,none,
3SALl_EQ,3SALl,,EQ,trading212,2025-12-26,True,False,none,
3SAPl_EQ,3SAPl,,EQ,trading212,2025-12-26,True,False,none,
3SBBl_EQ,3SBBl,,EQ,trading212,2025-12-26,True,False,none,
3SBEl_EQ,3SBEl,,EQ,trading212,2025-12-26,True,False,none,
3SEEl_EQ,3SEEl,,EQ,trading212,2025-12-26,True,False,none,
3SEMd_EQ,3SEMd,,EQ,trading212,2025-12-26,True,False,none,
3SEMl_EQ,3SEMl,,EQ,trading212,2025-12-26,True,False,none,
3SESd_EQ,3SESd,,EQ,trading212,2025-12-26,True,False,none,
3SFBl_EQ,3SFBl,,EQ,trading212,2025-12-26,True,False,none,
3SFEl_EQ,3SFEl,,EQ,trading212,2025-12-26,True,False,none,
3SGEl_EQ,3SGEl,,EQ,trading212,2025-12-26,True,False,none,
3SIEl_EQ,3SIEl,,EQ,trading212,2025-12-26,True,False,none,
3SILl_EQ,3SILl,,EQ,trading212,2025-12-26,True,False,none,
3SILm_EQ,3SILm,,EQ,trading212,2025-12-26,True,False,none,
3SISl_EQ,3SISl,,EQ,trading212,2025-12-26,True,False,none,
3SISm_EQ,3SISm,,EQ,trading212,2025-12-26,True,False,none,
3SKEl_EQ,3SKEl,,EQ,trading212,2025-12-26,True,False,none,
3SLEl_EQ,3SLEl,,EQ,trading212,2025-12-26,True,False,none,
3SMCl_EQ,3SMCl,,EQ,trading212,2025-12-26,True,False,none,
3SMEl_EQ,3SMEl,,EQ,trading212,2025-12-26,True,False,none,
3SMIl_EQ,3SMIl,,EQ,trading212,2025-12-26,True,False,none,
3SMIm_EQ,3SMIm,,EQ,trading212,2025-12-26,True,False,none,
3SMOl_EQ,3SMOl,,EQ,trading212,2025-12-26,True,False,none,
3SMOp_EQ,3SMOp,,EQ,trading212,2025-12-26,True,False,none,
3SMSl_EQ,3SMSl,,EQ,trading212,2025-12-26,True,False,none,
3SMTl_EQ,3SMTl,,EQ,trading212,2025-12-26,True,False,none,
3SMZl_EQ,3SMZl,,EQ,trading212,2025-12-26,True,False,none,
3SNEl_EQ,3SNEl,,EQ,trading212,2025-12-26,True,False,none,
3SNFl_EQ,3SNFl,,EQ,trading212,2025-12-26,True,False,none,
3SNIl_EQ,3SNIl,,EQ,trading212,2025-12-26,True,False,none,
3SNVl_EQ,3SNVl,,EQ,trading212,2025-12-26,True,False,none,
3SPAl_EQ,3SPAl,,EQ,trading212,2025-12-26,True,False,none,
3SPAp_EQ,3SPAp,,EQ,trading212,2025-12-26,True,False,none,
3SPEl_EQ,3SPEl,,EQ,trading212,2025-12-26,True,False,none,
3SQEl_EQ,3SQEl,,EQ,trading212,2025-12-26,True,False,none,
3SSMl_EQ,3SSMl,,EQ,trading212,2025-12-26,True,False,none,
3SSQl_EQ,3SSQl,,EQ,trading212,2025-12-26,True,False,none,
3SSQm_EQ,3SSQm,,EQ,trading212,2025-12-26,True,False,none,
3STEl_EQ,3STEl,,EQ,trading212,2025-12-26,True,False,none,
3STLl_EQ,3STLl,,EQ,trading212,2025-12-26,True,False,none,
3STSl_EQ,3STSl,,EQ,trading212,2025-12-26,True,False,none,
3SUDd_EQ,3SUDd,,EQ,trading212,2025-12-26,True,False,none,
3SUEd_EQ,3SUEd,,EQ,trading212,2025-12-26,True,False,none,
3SULl_EQ,3SULl,,EQ,trading212,2025-12-26,True,False,none,
3SULm_EQ,3SULm,,EQ,trading212,2025-12-26,True,False,none,
3SURd_EQ,3SURd,,EQ,trading212,2025-12-26,True,False,none,
3SVEl_EQ,3SVEl,,EQ,trading212,2025-12-26,True,False,none,
3SYEl_EQ,3SYEl,,EQ,trading212,2025-12-26,True,False,none,
3SZNl_EQ,3SZNl,,EQ,trading212,2025-12-26,True,False,none,
